Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Historical_Pass_Rate,Difficulty_Level
What is Mechanics as defined in the textbook?,Physics,Mechanics,Remember,89.3,Easy
Derive the formula for AI with mathematical proofs.,Computer Science,AI,Evaluate,20.3,Hard
Differentiate between Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,54.2,Medium
Compare Statistics in practice.,Mathematics,Statistics,Apply,53.0,Medium
Critically analyze Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,38.5,Hard
Propose a solution for Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,30.2,Hard
Compare Algorithms diagrammatically.,Computer Science,Algorithms,Apply,78.1,Easy
Define AI according to basic principles?,Computer Science,AI,Remember,93.5,Easy
List Database in simple terms?,Computer Science,Database,Remember,89.3,Easy
Synthesize Networking under extreme constraints.,Computer Science,Networking,Evaluate,49.4,Medium
State Database in simple terms?,Computer Science,Database,Remember,73.4,Medium
Outline Networking in a standard system.,Computer Science,Networking,Apply,70.4,Medium
List Relativity as defined in the textbook?,Physics,Relativity,Remember,82.7,Easy
Define Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,89.7,Easy
State Quantum Physics briefly?,Physics,Quantum Physics,Remember,98.0,Easy
List Statistics briefly?,Mathematics,Statistics,Remember,87.2,Easy
Describe AI in a standard system.,Computer Science,AI,Apply,66.3,Medium
Identify Thermodynamics as defined in the textbook?,Physics,Thermodynamics,Remember,80.5,Easy
Define Quantum Physics,Physics,Quantum Physics,Remember,76.7,Easy
Outline Geometry using an example.,Mathematics,Geometry,Apply,62.7,Medium
Illustrate Optics using an example.,Physics,Optics,Apply,49.8,Medium
State Relativity in simple terms?,Physics,Relativity,Remember,88.1,Easy
Calculate Algorithms using an example.,Computer Science,Algorithms,Apply,58.2,Medium
Calculate Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,61.2,Medium
Synthesize AI under extreme constraints.,Computer Science,AI,Evaluate,43.0,Hard
Differentiate between Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,69.5,Medium
Hypothesize Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,37.3,Hard
Derive the formula for Mechanics under extreme constraints.,Physics,Mechanics,Evaluate,38.5,Hard
Critically analyze Probability with mathematical proofs.,Mathematics,Probability,Evaluate,30.1,Hard
Derive the formula for Quantum Physics assuming failure modes.,Physics,Quantum Physics,Evaluate,31.2,Hard
Synthesize Database considering edge cases.,Computer Science,Database,Evaluate,37.6,Hard
Illustrate Database for a specific case.,Computer Science,Database,Apply,47.2,Medium
Name Statistics according to basic principles?,Mathematics,Statistics,Remember,87.9,Easy
Evaluate the limitations of AI with mathematical proofs.,Computer Science,AI,Evaluate,37.3,Hard
Hypothesize Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,28.3,Hard
List Database as defined in the textbook?,Computer Science,Database,Remember,88.6,Easy
Derive the formula for Probability assuming failure modes.,Mathematics,Probability,Evaluate,20.2,Hard
Propose a solution for Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,29.9,Hard
What is Linear Algebra,Mathematics,Linear Algebra,Remember,89.7,Easy
State AI,Computer Science,AI,Remember,89.2,Easy
Derive the formula for Optics in distributed latency environments.,Physics,Optics,Evaluate,31.0,Hard
Identify Mechanics in simple terms?,Physics,Mechanics,Remember,95.0,Easy
Which of these is Algorithms in simple terms?,Computer Science,Algorithms,Remember,80.9,Easy
List Data Structures as defined in the textbook?,Computer Science,Data Structures,Remember,75.0,Medium
Compare Probability using an example.,Mathematics,Probability,Apply,54.0,Medium
Outline Relativity for a specific case.,Physics,Relativity,Apply,46.8,Medium
Name Relativity as defined in the textbook?,Physics,Relativity,Remember,78.2,Easy
Calculate Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,45.3,Medium
Critically analyze Algorithms assuming failure modes.,Computer Science,Algorithms,Evaluate,55.3,Medium
Derive the formula for Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,39.5,Hard
Critically analyze Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,25.8,Hard
Derive the formula for Networking considering edge cases.,Computer Science,Networking,Evaluate,34.2,Hard
What is Mechanics as defined in the textbook?,Physics,Mechanics,Remember,81.6,Easy
State Statistics as defined in the textbook?,Mathematics,Statistics,Remember,100.0,Easy
Illustrate Data Structures using an example.,Computer Science,Data Structures,Apply,66.8,Medium
List Data Structures as defined in the textbook?,Computer Science,Data Structures,Remember,91.7,Easy
Differentiate between AI using an example.,Computer Science,AI,Apply,65.6,Medium
What is Geometry as defined in the textbook?,Mathematics,Geometry,Remember,90.7,Easy
List Calculus briefly?,Mathematics,Calculus,Remember,76.2,Easy
Evaluate the limitations of Thermodynamics assuming failure modes.,Physics,Thermodynamics,Evaluate,34.9,Hard
Critically analyze Optics in distributed latency environments.,Physics,Optics,Evaluate,46.4,Medium
Compare Data Structures in a standard system.,Computer Science,Data Structures,Apply,70.9,Medium
Synthesize Optics in distributed latency environments.,Physics,Optics,Evaluate,34.7,Hard
Explain how Database diagrammatically.,Computer Science,Database,Apply,67.5,Medium
Compare Data Structures in practice.,Computer Science,Data Structures,Apply,67.5,Medium
Propose a solution for Probability assuming failure modes.,Mathematics,Probability,Evaluate,51.1,Medium
Differentiate between Quantum Physics in practice.,Physics,Quantum Physics,Apply,56.2,Medium
Evaluate the limitations of Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,49.8,Medium
Critically analyze Database with mathematical proofs.,Computer Science,Database,Evaluate,21.1,Hard
Which of these is Thermodynamics as defined in the textbook?,Physics,Thermodynamics,Remember,77.6,Easy
Which of these is Algorithms according to basic principles?,Computer Science,Algorithms,Remember,90.4,Easy
Derive the formula for Geometry considering edge cases.,Mathematics,Geometry,Evaluate,26.5,Hard
Illustrate Networking in a standard system.,Computer Science,Networking,Apply,68.4,Medium
Which of these is Linear Algebra briefly?,Mathematics,Linear Algebra,Remember,95.2,Easy
Compare Calculus in practice.,Mathematics,Calculus,Apply,70.2,Medium
Synthesize Relativity with mathematical proofs.,Physics,Relativity,Evaluate,49.8,Medium
Outline Networking in practice.,Computer Science,Networking,Apply,55.7,Medium
Propose a solution for Mechanics with mathematical proofs.,Physics,Mechanics,Evaluate,41.1,Hard
Define Data Structures according to basic principles?,Computer Science,Data Structures,Remember,90.6,Easy
Differentiate between Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,66.5,Medium
Illustrate Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,68.2,Medium
Propose a solution for Optics with mathematical proofs.,Physics,Optics,Evaluate,32.6,Hard
Calculate Calculus diagrammatically.,Mathematics,Calculus,Apply,52.4,Medium
Outline Optics diagrammatically.,Physics,Optics,Apply,60.3,Medium
Illustrate Algorithms using an example.,Computer Science,Algorithms,Apply,72.7,Medium
Hypothesize Geometry under extreme constraints.,Mathematics,Geometry,Evaluate,53.0,Medium
Propose a solution for Relativity in distributed latency environments.,Physics,Relativity,Evaluate,23.0,Hard
Propose a solution for Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,38.8,Hard
What is Relativity,Physics,Relativity,Remember,100.0,Easy
Outline Database diagrammatically.,Computer Science,Database,Apply,50.1,Medium
State Geometry in simple terms?,Mathematics,Geometry,Remember,94.2,Easy
List AI according to basic principles?,Computer Science,AI,Remember,93.9,Easy
Describe Calculus diagrammatically.,Mathematics,Calculus,Apply,59.1,Medium
Critically analyze AI with mathematical proofs.,Computer Science,AI,Evaluate,44.8,Hard
Identify Algorithms according to basic principles?,Computer Science,Algorithms,Remember,88.8,Easy
Outline Data Structures for a specific case.,Computer Science,Data Structures,Apply,46.2,Medium
Critically analyze Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,35.8,Hard
Calculate Linear Algebra in practice.,Mathematics,Linear Algebra,Apply,58.1,Medium
What is Relativity as defined in the textbook?,Physics,Relativity,Remember,77.7,Easy
Define Probability briefly?,Mathematics,Probability,Remember,65.5,Medium
Define Relativity briefly?,Physics,Relativity,Remember,91.3,Easy
Critically analyze Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,37.6,Hard
What is Quantum Physics briefly?,Physics,Quantum Physics,Remember,93.6,Easy
Evaluate the limitations of Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,50.4,Medium
Critically analyze Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,39.4,Hard
Define Relativity according to basic principles?,Physics,Relativity,Remember,82.6,Easy
Illustrate Mechanics using an example.,Physics,Mechanics,Apply,40.9,Hard
Calculate Geometry in practice.,Mathematics,Geometry,Apply,59.9,Medium
Name Linear Algebra according to basic principles?,Mathematics,Linear Algebra,Remember,84.3,Easy
Synthesize Database considering edge cases.,Computer Science,Database,Evaluate,39.4,Hard
Outline Geometry in practice.,Mathematics,Geometry,Apply,56.3,Medium
Identify Linear Algebra in simple terms?,Mathematics,Linear Algebra,Remember,91.7,Easy
Illustrate Statistics for a specific case.,Mathematics,Statistics,Apply,58.6,Medium
Explain how Calculus in a standard system.,Mathematics,Calculus,Apply,51.0,Medium
What is Geometry in simple terms?,Mathematics,Geometry,Remember,70.5,Medium
Name Quantum Physics,Physics,Quantum Physics,Remember,94.6,Easy
Synthesize Probability under extreme constraints.,Mathematics,Probability,Evaluate,36.6,Hard
Hypothesize Networking considering edge cases.,Computer Science,Networking,Evaluate,48.8,Medium
List Calculus,Mathematics,Calculus,Remember,79.4,Easy
Which of these is Probability according to basic principles?,Mathematics,Probability,Remember,86.6,Easy
Synthesize Calculus considering edge cases.,Mathematics,Calculus,Evaluate,41.2,Hard
Explain how Database using an example.,Computer Science,Database,Apply,58.8,Medium
Critically analyze Database under extreme constraints.,Computer Science,Database,Evaluate,42.3,Hard
Evaluate the limitations of Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,28.1,Hard
Propose a solution for Networking considering edge cases.,Computer Science,Networking,Evaluate,39.8,Hard
Propose a solution for AI under extreme constraints.,Computer Science,AI,Evaluate,42.3,Hard
Name Thermodynamics briefly?,Physics,Thermodynamics,Remember,82.5,Easy
Which of these is Geometry,Mathematics,Geometry,Remember,100.0,Easy
Derive the formula for Networking considering edge cases.,Computer Science,Networking,Evaluate,47.2,Medium
Explain how Relativity diagrammatically.,Physics,Relativity,Apply,60.5,Medium
Which of these is Networking according to basic principles?,Computer Science,Networking,Remember,90.6,Easy
Calculate Relativity in a standard system.,Physics,Relativity,Apply,63.3,Medium
Differentiate between Probability in a standard system.,Mathematics,Probability,Apply,73.7,Medium
Which of these is Optics in simple terms?,Physics,Optics,Remember,89.9,Easy
Derive the formula for Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,21.4,Hard
Propose a solution for Optics under extreme constraints.,Physics,Optics,Evaluate,24.4,Hard
Critically analyze Optics assuming failure modes.,Physics,Optics,Evaluate,36.8,Hard
Evaluate the limitations of Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,28.8,Hard
,Computer Science,Networking,Apply,43.1,Hard
What is Algorithms,Computer Science,Algorithms,Remember,94.1,Easy
Name Probability as defined in the textbook?,Mathematics,Probability,Remember,86.7,Easy
Identify AI as defined in the textbook?,Computer Science,AI,Remember,100.0,Easy
Define Optics,Physics,Optics,Remember,82.2,Easy
Synthesize Optics assuming failure modes.,Physics,Optics,Evaluate,29.5,Hard
Define Algorithms in simple terms?,Computer Science,Algorithms,Remember,74.1,Medium
Compare Calculus in practice.,Mathematics,Calculus,Apply,62.0,Medium
Derive the formula for Database considering edge cases.,Computer Science,Database,Evaluate,35.9,Hard
Evaluate the limitations of Probability with mathematical proofs.,Mathematics,Probability,Evaluate,37.2,Hard
Outline Database in a standard system.,Computer Science,Database,Apply,75.3,Easy
Compare Quantum Physics using an example.,Physics,Quantum Physics,Apply,54.1,Medium
Which of these is Database,Computer Science,Database,Remember,96.4,Easy
Critically analyze Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,46.4,Medium
Synthesize Database considering edge cases.,Computer Science,Database,Evaluate,18.6,Hard
Identify Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,96.9,Easy
Derive the formula for Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,29.4,Hard
Compare Algorithms diagrammatically.,Computer Science,Algorithms,Apply,54.2,Medium
Synthesize Statistics considering edge cases.,Mathematics,Statistics,Evaluate,20.1,Hard
Propose a solution for Statistics under extreme constraints.,Mathematics,Statistics,Evaluate,63.7,Medium
Evaluate the limitations of Calculus in distributed latency environments.,Mathematics,Calculus,Evaluate,21.2,Hard
Synthesize Optics assuming failure modes.,Physics,Optics,Evaluate,7.7,Hard
What is Mechanics as defined in the textbook?,Physics,Mechanics,Remember,87.6,Easy
Compare Algorithms in practice.,Computer Science,Algorithms,Apply,69.3,Medium
Compare Probability in a standard system.,Mathematics,Probability,Apply,60.3,Medium
Illustrate Optics diagrammatically.,Physics,Optics,Apply,54.4,Medium
Synthesize Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,39.3,Hard
Propose a solution for Relativity in distributed latency environments.,Physics,Relativity,Evaluate,25.0,Hard
Derive the formula for Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,34.2,Hard
Evaluate the limitations of Database with mathematical proofs.,Computer Science,Database,Evaluate,32.0,Hard
Derive the formula for Relativity in distributed latency environments.,Physics,Relativity,Evaluate,38.1,Hard
Explain how Optics diagrammatically.,Physics,Optics,Apply,67.4,Medium
State Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,90.9,Easy
Critically analyze Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,13.8,Hard
Derive the formula for Probability with mathematical proofs.,Mathematics,Probability,Evaluate,50.5,Medium
Identify Mechanics,Physics,Mechanics,Remember,80.7,Easy
List Data Structures according to basic principles?,Computer Science,Data Structures,Remember,89.0,Easy
Critically analyze Thermodynamics considering edge cases.,Physics,Thermodynamics,Evaluate,17.5,Hard
Describe Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,65.1,Medium
Outline Database for a specific case.,Computer Science,Database,Apply,59.0,Medium
Evaluate the limitations of Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,28.0,Hard
Evaluate the limitations of Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,7.6,Hard
Critically analyze Database assuming failure modes.,Computer Science,Database,Evaluate,39.0,Hard
Calculate Statistics diagrammatically.,Mathematics,Statistics,Apply,66.4,Medium
Explain how Optics for a specific case.,Physics,Optics,Apply,57.8,Medium
Name Probability as defined in the textbook?,Mathematics,Probability,Remember,80.3,Easy
Illustrate Linear Algebra in practice.,Mathematics,Linear Algebra,Apply,58.8,Medium
Hypothesize Probability in distributed latency environments.,Mathematics,Probability,Evaluate,23.9,Hard
Critically analyze Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,46.7,Medium
Illustrate Geometry diagrammatically.,Mathematics,Geometry,Apply,75.4,Easy
Hypothesize Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,32.5,Hard
Compare Calculus in practice.,Mathematics,Calculus,Apply,53.1,Medium
Derive the formula for Probability considering edge cases.,Mathematics,Probability,Evaluate,29.3,Hard
Compare Optics for a specific case.,Physics,Optics,Apply,65.1,Medium
Hypothesize Networking assuming failure modes.,Computer Science,Networking,Evaluate,25.7,Hard
List Database as defined in the textbook?,Computer Science,Database,Remember,97.7,Easy
What is Mechanics in simple terms?,Physics,Mechanics,Remember,92.6,Easy
Explain how Relativity in a standard system.,Physics,Relativity,Apply,69.7,Medium
Calculate Algorithms for a specific case.,Computer Science,Algorithms,Apply,50.4,Medium
Critically analyze Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,49.0,Medium
State Mechanics briefly?,Physics,Mechanics,Remember,92.8,Easy
State Optics in simple terms?,Physics,Optics,Remember,88.5,Easy
Propose a solution for Mechanics with mathematical proofs.,Physics,Mechanics,Evaluate,40.5,Hard
Outline Thermodynamics in practice.,Physics,Thermodynamics,Apply,53.3,Medium
Define Mechanics,Physics,Mechanics,Remember,78.8,Easy
Derive the formula for Probability considering edge cases.,Mathematics,Probability,Evaluate,24.9,Hard
Critically analyze Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,46.2,Medium
Define Statistics in simple terms?,Mathematics,Statistics,Remember,97.3,Easy
What is Data Structures briefly?,Computer Science,Data Structures,Remember,99.3,Easy
Derive the formula for Algorithms assuming failure modes.,Computer Science,Algorithms,Evaluate,30.0,Hard
Differentiate between Thermodynamics using an example.,Physics,Thermodynamics,Apply,51.3,Medium
Derive the formula for Statistics considering edge cases.,Mathematics,Statistics,Evaluate,36.3,Hard
Which of these is AI as defined in the textbook?,Computer Science,AI,Remember,74.6,Medium
Calculate Database in a standard system.,Computer Science,Database,Apply,71.5,Medium
Illustrate Database in a standard system.,Computer Science,Database,Apply,56.9,Medium
Evaluate the limitations of Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,58.3,Medium
List AI briefly?,Computer Science,AI,Remember,86.6,Easy
Compare Relativity in practice.,Physics,Relativity,Apply,58.2,Medium
Synthesize Probability under extreme constraints.,Mathematics,Probability,Evaluate,18.9,Hard
Define AI as defined in the textbook?,Computer Science,AI,Remember,94.1,Easy
Outline Probability using an example.,Mathematics,Probability,Apply,66.9,Medium
Identify Optics briefly?,Physics,Optics,Remember,94.5,Easy
Differentiate between Optics in a standard system.,Physics,Optics,Apply,53.6,Medium
Propose a solution for Optics under extreme constraints.,Physics,Optics,Evaluate,44.3,Hard
Synthesize Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,39.1,Hard
Which of these is Statistics according to basic principles?,Mathematics,Statistics,Remember,96.9,Easy
Evaluate the limitations of Optics with mathematical proofs.,Physics,Optics,Evaluate,30.2,Hard
Hypothesize Linear Algebra considering edge cases.,Mathematics,Linear Algebra,Evaluate,33.3,Hard
Propose a solution for AI under extreme constraints.,Computer Science,AI,Evaluate,40.4,Hard
Derive the formula for Geometry assuming failure modes.,Mathematics,Geometry,Evaluate,46.1,Medium
Evaluate the limitations of Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,17.0,Hard
Outline Probability using an example.,Mathematics,Probability,Apply,66.7,Medium
Propose a solution for Networking considering edge cases.,Computer Science,Networking,Evaluate,39.0,Hard
Name Mechanics in simple terms?,Physics,Mechanics,Remember,99.0,Easy
Propose a solution for Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,39.9,Hard
Explain how Statistics diagrammatically.,Mathematics,Statistics,Apply,56.3,Medium
Derive the formula for Linear Algebra assuming failure modes.,Mathematics,Linear Algebra,Evaluate,32.1,Hard
Synthesize Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,29.6,Hard
Define Statistics,Mathematics,Statistics,Remember,75.1,Easy
Explain how Geometry for a specific case.,Mathematics,Geometry,Apply,78.2,Easy
Identify Calculus in simple terms?,Mathematics,Calculus,Remember,70.7,Medium
Hypothesize Relativity in distributed latency environments.,Physics,Relativity,Evaluate,24.7,Hard
Which of these is Data Structures in simple terms?,Computer Science,Data Structures,Remember,85.8,Easy
Compare Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,62.5,Medium
Differentiate between Probability diagrammatically.,Mathematics,Probability,Apply,72.0,Medium
Identify Relativity as defined in the textbook?,Physics,Relativity,Remember,96.4,Easy
Explain how Algorithms in a standard system.,Computer Science,Algorithms,Apply,49.6,Medium
What is Statistics according to basic principles?,Mathematics,Statistics,Remember,71.8,Medium
Differentiate between Relativity diagrammatically.,Physics,Relativity,Apply,62.7,Medium
Propose a solution for Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,50.9,Medium
List Relativity as defined in the textbook?,Physics,Relativity,Remember,98.9,Easy
Hypothesize Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,36.8,Hard
Hypothesize AI considering edge cases.,Computer Science,AI,Evaluate,32.2,Hard
Compare Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,72.0,Medium
Compare Data Structures in practice.,Computer Science,Data Structures,Apply,52.4,Medium
Describe Probability in a standard system.,Mathematics,Probability,Apply,68.2,Medium
Propose a solution for Mechanics considering edge cases.,Physics,Mechanics,Evaluate,44.5,Hard
Name Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,73.1,Medium
Hypothesize Database considering edge cases.,Computer Science,Database,Evaluate,17.8,Hard
State Linear Algebra briefly?,Mathematics,Linear Algebra,Remember,84.1,Easy
Outline Database in practice.,Computer Science,Database,Apply,42.0,Hard
Synthesize Linear Algebra in distributed latency environments.,Mathematics,Linear Algebra,Evaluate,49.8,Medium
List Thermodynamics briefly?,Physics,Thermodynamics,Remember,94.6,Easy
State Database in simple terms?,Computer Science,Database,Remember,100.0,Easy
Identify Algorithms briefly?,Computer Science,Algorithms,Remember,89.5,Easy
Outline Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,65.8,Medium
State Thermodynamics in simple terms?,Physics,Thermodynamics,Remember,93.2,Easy
Which of these is Algorithms briefly?,Computer Science,Algorithms,Remember,90.0,Easy
Evaluate the limitations of Geometry considering edge cases.,Mathematics,Geometry,Evaluate,52.9,Medium
Compare Database in a standard system.,Computer Science,Database,Apply,61.5,Medium
Differentiate between Calculus for a specific case.,Mathematics,Calculus,Apply,51.1,Medium
State Algorithms according to basic principles?,Computer Science,Algorithms,Remember,90.8,Easy
Identify Relativity in simple terms?,Physics,Relativity,Remember,89.9,Easy
Identify Algorithms according to basic principles?,Computer Science,Algorithms,Remember,87.9,Easy
Name Thermodynamics briefly?,Physics,Thermodynamics,Remember,87.1,Easy
Illustrate Relativity in a standard system.,Physics,Relativity,Apply,42.2,Hard
Which of these is Probability briefly?,Mathematics,Probability,Remember,88.1,Easy
Explain how Calculus in a standard system.,Mathematics,Calculus,Apply,50.7,Medium
Identify Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,90.6,Easy
,Mathematics,Geometry,Remember,85.1,Easy
Identify Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,81.4,Easy
Explain how Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,61.7,Medium
Name Probability in simple terms?,Mathematics,Probability,Remember,100.0,Easy
Propose a solution for Mechanics considering edge cases.,Physics,Mechanics,Evaluate,27.4,Hard
Define Networking briefly?,Computer Science,Networking,Remember,85.5,Easy
Hypothesize Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,47.6,Medium
Outline Probability diagrammatically.,Mathematics,Probability,Apply,51.9,Medium
Define Probability,Mathematics,Probability,Remember,94.2,Easy
Evaluate the limitations of Database under extreme constraints.,Computer Science,Database,Evaluate,43.8,Hard
List Networking as defined in the textbook?,Computer Science,Networking,Remember,83.0,Easy
Compare Thermodynamics using an example.,Physics,Thermodynamics,Apply,75.4,Easy
Propose a solution for Probability with mathematical proofs.,Mathematics,Probability,Evaluate,33.3,Hard
Outline AI in practice.,Computer Science,AI,Apply,68.4,Medium
Outline Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,53.0,Medium
Calculate Relativity in practice.,Physics,Relativity,Apply,71.7,Medium
Illustrate Mechanics diagrammatically.,Physics,Mechanics,Apply,53.8,Medium
Identify Optics according to basic principles?,Physics,Optics,Remember,93.3,Easy
What is Geometry as defined in the textbook?,Mathematics,Geometry,Remember,87.1,Easy
Outline Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,75.4,Easy
Describe Statistics in practice.,Mathematics,Statistics,Apply,60.7,Medium
Describe Database for a specific case.,Computer Science,Database,Apply,68.3,Medium
Synthesize Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,28.0,Hard
Differentiate between Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,60.5,Medium
Name Mechanics in simple terms?,Physics,Mechanics,Remember,87.0,Easy
Synthesize Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,43.8,Hard
Synthesize Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,30.5,Hard
Compare Linear Algebra in a standard system.,Mathematics,Linear Algebra,Apply,62.4,Medium
State Probability briefly?,Mathematics,Probability,Remember,79.9,Easy
Synthesize Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,32.7,Hard
Evaluate the limitations of Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,23.5,Hard
Describe AI diagrammatically.,Computer Science,AI,Apply,65.0,Medium
Illustrate Relativity using an example.,Physics,Relativity,Apply,70.9,Medium
Identify Database according to basic principles?,Computer Science,Database,Remember,74.4,Medium
Outline Data Structures diagrammatically.,Computer Science,Data Structures,Apply,73.3,Medium
Which of these is Linear Algebra as defined in the textbook?,Mathematics,Linear Algebra,Remember,89.6,Easy
Propose a solution for Optics in distributed latency environments.,Physics,Optics,Evaluate,34.6,Hard
Compare Geometry in a standard system.,Mathematics,Geometry,Apply,64.4,Medium
Calculate AI in a standard system.,Computer Science,AI,Apply,38.1,Hard
Derive the formula for Statistics considering edge cases.,Mathematics,Statistics,Evaluate,38.5,Hard
Differentiate between Optics in practice.,Physics,Optics,Apply,77.2,Easy
Evaluate the limitations of Networking in distributed latency environments.,Computer Science,Networking,Evaluate,18.3,Hard
Identify Optics in simple terms?,Physics,Optics,Remember,88.2,Easy
Differentiate between AI using an example.,Computer Science,AI,Apply,64.1,Medium
Illustrate Data Structures using an example.,Computer Science,Data Structures,Apply,52.9,Medium
Describe Optics in practice.,Physics,Optics,Apply,61.0,Medium
Differentiate between Mechanics for a specific case.,Physics,Mechanics,Apply,61.5,Medium
List Probability,Mathematics,Probability,Remember,100.0,Easy
Critically analyze Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,21.0,Hard
Hypothesize Networking considering edge cases.,Computer Science,Networking,Evaluate,48.1,Medium
List Networking briefly?,Computer Science,Networking,Remember,96.3,Easy
State Calculus in simple terms?,Mathematics,Calculus,Remember,85.6,Easy
Propose a solution for Relativity considering edge cases.,Physics,Relativity,Evaluate,36.0,Hard
Critically analyze Statistics under extreme constraints.,Mathematics,Statistics,Evaluate,29.6,Hard
Calculate Algorithms diagrammatically.,Computer Science,Algorithms,Apply,59.9,Medium
Critically analyze Database assuming failure modes.,Computer Science,Database,Evaluate,24.6,Hard
What is Calculus briefly?,Mathematics,Calculus,Remember,64.8,Medium
Which of these is Quantum Physics as defined in the textbook?,Physics,Quantum Physics,Remember,93.2,Easy
Calculate Database diagrammatically.,Computer Science,Database,Apply,69.0,Medium
Which of these is AI in simple terms?,Computer Science,AI,Remember,79.0,Easy
Outline Statistics for a specific case.,Mathematics,Statistics,Apply,78.8,Easy
State Calculus as defined in the textbook?,Mathematics,Calculus,Remember,90.8,Easy
Outline AI in a standard system.,Computer Science,AI,Apply,81.0,Easy
Which of these is Mechanics in simple terms?,Physics,Mechanics,Remember,84.6,Easy
Which of these is Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,76.8,Easy
Evaluate the limitations of Relativity considering edge cases.,Physics,Relativity,Evaluate,26.5,Hard
Compare Probability for a specific case.,Mathematics,Probability,Apply,62.8,Medium
Describe Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,69.5,Medium
Evaluate the limitations of Relativity under extreme constraints.,Physics,Relativity,Evaluate,35.3,Hard
Evaluate the limitations of Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,27.6,Hard
Derive the formula for Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,25.7,Hard
Name Optics in simple terms?,Physics,Optics,Remember,100.0,Easy
Calculate Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,61.1,Medium
List Data Structures in simple terms?,Computer Science,Data Structures,Remember,83.4,Easy
Illustrate Data Structures in a standard system.,Computer Science,Data Structures,Apply,41.0,Hard
Synthesize Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,45.9,Medium
